Year,Month,Day,MinTemp,MaxTemp,Precipitation,ReferenceET
2022,1,1,-0.71,3.23,0.0,0.5994072086923803
2022,1,2,1.45,7.86,0.01,0.9036342733359608
2022,1,3,1.43,6.07,0.0,0.7403938741243838
2022,1,4,1.85,5.1,0.0,0.6140142289151701
2022,1,5,0.47,2.8,0.78,0.4768078162790263
2022,1,6,1.13,5.15,0.0,0.677618917932046
2022,1,7,-0.01,4.93,0.0,0.7299836395107214
2022,1,8,0.88,6.22,0.0,0.8035087549311121
2022,1,9,1.78,6.78,0.0,0.8080040835907809
2022,1,10,1.37,6.06,0.15,0.766404467676777
2022,1,11,0.22,3.73,0.55,0.6126216000612323
2022,1,12,0.28,2.43,0.07,0.46698683257599455
2022,1,13,0.65,2.36,1.21,0.4221227944036011
2022,1,14,0.55,3.06,0.04,0.5224282986867737
2022,1,15,1.08,6.43,0.0,0.8436880375568045
2022,1,16,0.36,5.1,0.09,0.7611120058793851
2022,1,17,0.58,4.69,0.03,0.7099969490734134
2022,1,18,-0.88,2.39,0.0,0.5788428960616262
2022,1,19,-1.46,4.07,0.17,0.7803192574960635
2022,1,20,-1.98,1.68,0.0,0.5905465318195335
2022,1,21,-1.16,4.69,0.0,0.833488290618006
2022,1,22,2.86,9.55,0.03,1.1015225505256978
2022,1,23,2.73,6.9,0.17,0.8253564677893505
2022,1,24,1.7,9.14,0.01,1.1404669144958688
2022,1,25,3.55,6.56,0.18,0.7194682568699987
2022,1,26,2.48,5.99,0.0,0.7548842372485497
2022,1,27,1.62,5.08,0.0,0.725069280366135
2022,1,28,1.57,3.9,0.0,0.582330043483723
2022,1,29,1.2,3.44,0.0,0.5639744344856161
2022,1,30,0.65,2.95,0.0,0.5612820446417701
2022,1,31,0.69,5.08,0.81,0.8251689598655636
2022,2,1,0.98,4.13,0.15,0.6878305817271894
2022,2,2,0.25,3.69,0.0,0.7039998051580227
2022,2,3,0.43,4.1,0.0,0.7442612972911582
2022,2,4,0.24,4.34,0.6,0.7943724769955938
2022,2,5,0.32,1.64,0.51,0.424975540599046
2022,2,6,0.8,4.49,0.07,0.7802579880335624
2022,2,7,0.44,2.53,0.01,0.5587432467653981
2022,2,8,0.08,4.62,0.0,0.8680138697614069
2022,2,9,0.2,4.84,0.1,0.8927519309683312
2022,2,10,1.82,6.04,0.03,0.9185575247118525
2022,2,11,0.73,7.38,0.0,1.170064837774935
2022,2,12,1.64,9.03,0.0,1.3173804975845849
2022,2,13,3.12,8.67,0.0,1.1797908724344863
2022,2,14,2.48,8.71,0.03,1.245260343718608
2022,2,15,-0.21,2.19,0.08,0.6263593372269215
2022,2,16,-1.03,0.72,0.87,0.5067977125639471
2022,2,17,-2.25,-0.16,0.09,0.525593356046511
2022,2,18,-2.17,6.02,0.01,1.2478565411498488
2022,2,19,0.28,4.24,0.34,0.890408380191641
2022,2,20,-1.03,1.47,0.42,0.6412648495856409
2022,2,21,0.07,5.91,0.07,1.1409603654029838
2022,2,22,0.07,2.56,0.12,0.6911525493166509
2022,2,23,-1.31,1.09,0.01,0.6336001116818795
2022,2,24,-0.78,4.86,0.0,1.0990937618206291
2022,2,25,1.12,7.03,0.0,1.2515704627180018
2022,2,26,2.42,8.56,0.05,1.3702942181291673
2022,2,27,1.74,7.33,0.0,1.2649804065207884
2022,2,28,1.8,9.7,0.0,1.5996016422977748
2022,3,1,2.01,8.54,4.23,1.4626483852280283
2022,3,2,1.33,6.35,0.0,1.2130732820589931
2022,3,3,2.64,9.54,0.0,1.5835504737007586
2022,3,4,4.76,10.9,0.0,1.6162670567406157
2022,3,5,2.24,6.25,0.0,1.1329908850795185
2022,3,6,1.5,5.22,0.0,1.0562546870615739
2022,3,7,1.25,6.7,0.0,1.3266240526031432
2022,3,8,2.84,9.36,0.0,1.6058117637817115
2022,3,9,3.33,10.45,0.0,1.7477773216395995
2022,3,10,3.23,11.75,0.0,1.9743102421583614
2022,3,11,7.41,13.79,0.0,1.934042548804182
2022,3,12,7.89,14.87,0.07,2.0951200174705624
2022,3,13,6.62,11.51,13.52,1.627282487044146
2022,3,14,4.95,13.05,2.25,2.1056743757237095
2022,3,15,3.01,11.97,0.0,2.106079386093175
2022,3,16,5.15,11.9,0.03,1.917411214418594
2022,3,17,6.75,10.36,11.99,1.4144877382044896
2022,3,18,7.0,8.9,5.75,1.0101550903952539
2022,3,19,4.34,7.0,7.01,1.0974954467610587
