case,year,SMT_pct,MaxIrr_mm,yield_t_ha,irrigation_mm,WP_kg_m3
case1_gimje,2015,10.0,17.6,4.475,35.3,1.022
case1_gimje,2015,81.5,10.9,7.179,267.2,1.072
case1_gimje,2015,10.0,17.6,4.475,35.3,1.022
case1_gimje,2015,40.0,39.5,6.2,116.2,1.195
case1_gimje,2015,47.2,12.2,6.232,147.0,1.134
case1_gimje,2015,37.0,16.6,5.106,83.0,1.052
case1_gimje,2015,18.2,17.3,4.777,52.0,1.051
case1_gimje,2015,59.0,13.0,6.935,181.6,1.187
case1_gimje,2015,38.3,11.2,5.404,89.4,1.098
case1_gimje,2015,48.3,22.3,6.454,156.1,1.155
case1_gimje,2015,61.5,11.7,7.054,198.3,1.174
case1_gimje,2015,52.6,11.6,6.703,162.9,1.185
case1_gimje,2015,73.7,21.8,7.166,249.9,1.098
case1_gimje,2015,25.8,13.0,4.932,65.0,1.055
case1_gimje,2015,40.1,27.6,5.967,110.2,1.164
case1_gimje,2015,54.8,15.7,6.877,173.0,1.195
case1_gimje,2015,40.2,20.0,5.749,100.0,1.144
case1_gimje,2015,12.8,15.7,4.613,47.2,1.026
case1_gimje,2015,65.3,16.0,7.149,208.4,1.17
case1_gimje,2015,46.0,21.8,6.38,152.8,1.149
case1_gimje,2015,31.0,11.9,5.051,71.7,1.065
case1_gimje,2015,39.0,27.8,5.981,111.4,1.164
case1_gimje,2015,53.2,12.0,6.738,167.8,1.181
case1_gimje,2015,73.0,23.4,7.166,233.4,1.127
case1_gimje,2015,10.8,39.8,4.572,39.8,1.033
case1_gimje,2015,40.1,15.8,5.618,94.8,1.129
case1_gimje,2015,73.0,23.6,7.166,233.4,1.127
case1_gimje,2015,27.9,13.8,4.956,69.2,1.051
case1_gimje,2015,40.2,19.8,5.742,99.2,1.144
case1_gimje,2015,61.2,18.9,7.098,205.0,1.168
