case,year,SMT_pct,MaxIrr_mm,yield_t_ha,irrigation_mm,WP_kg_m3
case2_hampyeong,2022,54.0,30.0,7.295,0.0,1.008
case2_hampyeong,2022,89.5,10.0,7.438,99.3,0.904
case2_hampyeong,2022,50.4,30.0,7.295,0.0,1.008
case2_hampyeong,2022,63.3,19.9,7.327,19.9,0.986
case2_hampyeong,2022,82.5,12.5,7.434,84.2,0.92
case2_hampyeong,2022,63.1,10.0,7.321,10.0,0.998
case2_hampyeong,2022,76.2,13.2,7.413,39.7,0.971
case2_hampyeong,2022,66.6,10.0,7.352,20.0,0.989
case2_hampyeong,2022,80.0,11.4,7.432,56.9,0.952
case2_hampyeong,2022,67.6,19.3,7.396,38.5,0.97
case2_hampyeong,2022,80.4,17.3,7.434,76.1,0.93
case2_hampyeong,2022,62.0,15.2,7.325,15.2,0.992
case2_hampyeong,2022,76.6,12.0,7.416,48.1,0.961
case2_hampyeong,2022,85.3,10.7,7.436,94.8,0.909
case2_hampyeong,2022,80.0,13.3,7.434,64.6,0.943
case2_hampyeong,2022,67.6,15.8,7.388,31.5,0.978
case2_hampyeong,2022,79.4,10.4,7.43,52.2,0.958
case2_hampyeong,2022,63.1,10.0,7.321,10.0,0.998
case2_hampyeong,2022,77.8,12.5,7.427,49.4,0.961
case2_hampyeong,2022,80.0,15.1,7.434,70.0,0.937
case2_hampyeong,2022,62.8,10.3,7.321,10.3,0.997
case2_hampyeong,2022,67.6,11.6,7.371,23.1,0.987
case2_hampyeong,2022,76.6,14.9,7.415,43.5,0.967
case2_hampyeong,2022,67.6,17.2,7.392,34.5,0.975
case2_hampyeong,2022,67.8,13.3,7.38,26.7,0.984
case2_hampyeong,2022,66.6,10.1,7.361,20.2,0.99
case2_hampyeong,2022,66.4,10.1,7.353,20.1,0.989
case2_hampyeong,2022,85.3,10.7,7.436,94.9,0.908
case2_hampyeong,2022,76.5,11.5,7.415,45.8,0.964
case2_hampyeong,2022,67.6,15.8,7.388,31.6,0.978
