axis,condition,case,site,year,strategy,baseline_yield_t_ha,perturbed_yield_t_ha,yield_delta_t_ha,yield_delta_pct,baseline_irrigation_mm,perturbed_irrigation_mm,irrigation_delta_mm,irrigation_delta_pct,baseline_WP_kg_m3,perturbed_WP_kg_m3,WP_delta_kg_m3,WP_delta_pct,baseline_grow_precip_mm,perturbed_grow_precip_mm,baseline_irrigation_gt200,perturbed_irrigation_gt200,flag_changed,fc_factor,wp_factor,perturbed_soil_thfc,perturbed_soil_thwp
soil,FC-15_WP+15,case2_hampyeong,Hampyeong,2015,rainfed,6.015889,2.722526,-3.293363,-54.744409,0.0,0.0,0.0,,1.040991,0.471107,-0.569885,-54.744409,577.9,577.9,False,False,False,0.85,1.15,0.2737,0.2185
soil,FC-15_WP+15,case2_hampyeong,Hampyeong,2015,fixed_7d_80pct,7.138466,6.936879,-0.201587,-2.823952,142.761903,134.373893,-8.38801,-5.875524,0.990543,0.973906,-0.016637,-1.67957,577.9,577.9,False,False,False,0.85,1.15,0.2737,0.2185
soil,FC-15_WP+15,case2_hampyeong,Hampyeong,2015,deficit_SMT50,6.772364,7.127339,0.354975,5.241518,75.0,110.217646,35.217646,46.956862,1.037274,1.035773,-0.001501,-0.14471,577.9,577.9,False,False,False,0.85,1.15,0.2737,0.2185
soil,FC-15_WP+15,case2_hampyeong,Hampyeong,2015,deficit_SMT30,6.361558,6.797939,0.436381,6.859659,25.0,114.17528,89.17528,356.701119,1.05516,0.982254,-0.072905,-6.909422,577.9,577.9,False,False,False,0.85,1.15,0.2737,0.2185
soil,FC-15_WP+15,case2_hampyeong,Hampyeong,2015,full_SMT80,7.166865,7.171734,0.004869,0.067943,149.313758,162.432024,13.118267,8.785705,0.985524,0.968719,-0.016805,-1.705205,577.9,577.9,False,False,False,0.85,1.15,0.2737,0.2185
soil,FC-15_WP-15,case2_hampyeong,Hampyeong,2015,rainfed,6.015889,5.616071,-0.399818,-6.646041,0.0,0.0,0.0,,1.040991,0.971807,-0.069185,-6.646041,577.9,577.9,False,False,False,0.85,0.85,0.2737,0.1615
soil,FC-15_WP-15,case2_hampyeong,Hampyeong,2015,fixed_7d_80pct,7.138466,7.134567,-0.003899,-0.054616,142.761903,137.832337,-4.929565,-3.452998,0.990543,0.996821,0.006278,0.633752,577.9,577.9,False,False,False,0.85,0.85,0.2737,0.1615
soil,FC-15_WP-15,case2_hampyeong,Hampyeong,2015,deficit_SMT50,6.772364,6.91939,0.147026,2.170974,75.0,75.0,0.0,0.0,1.037274,1.059793,0.022519,2.170974,577.9,577.9,False,False,False,0.85,0.85,0.2737,0.1615
soil,FC-15_WP-15,case2_hampyeong,Hampyeong,2015,deficit_SMT30,6.361558,6.177657,-0.183901,-2.890812,25.0,25.0,0.0,0.0,1.05516,1.024657,-0.030503,-2.890812,577.9,577.9,False,False,False,0.85,0.85,0.2737,0.1615
soil,FC-15_WP-15,case2_hampyeong,Hampyeong,2015,full_SMT80,7.166865,7.17044,0.003575,0.049878,149.313758,159.997147,10.68339,7.154994,0.985524,0.97174,-0.013784,-1.39866,577.9,577.9,False,False,False,0.85,0.85,0.2737,0.1615
soil,FC+15,case2_hampyeong,Hampyeong,2019,rainfed,7.196797,7.263488,0.066691,0.926683,0.0,0.0,0.0,,0.873588,0.881684,0.008095,0.926683,823.82,823.82,False,False,False,1.15,1.0,0.3703,0.19
soil,FC+15,case2_hampyeong,Hampyeong,2019,fixed_7d_80pct,7.307054,7.315571,0.008517,0.116562,114.189612,123.17903,8.989417,7.87236,0.778996,0.7725,-0.006495,-0.833797,823.82,823.82,False,False,False,1.15,1.0,0.3703,0.19
soil,FC+15,case2_hampyeong,Hampyeong,2019,deficit_SMT50,7.30513,7.275359,-0.029771,-0.407536,50.0,25.0,-25.0,-50.0,0.835999,0.857115,0.021115,2.525726,823.82,823.82,False,False,False,1.15,1.0,0.3703,0.19
soil,FC+15,case2_hampyeong,Hampyeong,2019,deficit_SMT30,7.196797,7.263488,0.066691,0.926683,0.0,0.0,0.0,,0.873588,0.881684,0.008095,0.926683,823.82,823.82,False,False,False,1.15,1.0,0.3703,0.19
soil,FC+15,case2_hampyeong,Hampyeong,2019,full_SMT80,7.325232,7.322159,-0.003073,-0.041957,117.126119,113.582548,-3.543571,-3.025432,0.778496,0.781111,0.002615,0.335904,823.82,823.82,False,False,False,1.15,1.0,0.3703,0.19
soil,FC-15,case2_hampyeong,Hampyeong,2019,rainfed,7.196797,6.807183,-0.389614,-5.413709,0.0,0.0,0.0,,0.873588,0.826295,-0.047294,-5.413709,823.82,823.82,False,False,False,0.85,1.0,0.2737,0.19
soil,FC-15,case2_hampyeong,Hampyeong,2019,fixed_7d_80pct,7.307054,7.280241,-0.026812,-0.366938,114.189612,104.453252,-9.73636,-8.526485,0.778996,0.784278,0.005282,0.678082,823.82,823.82,False,False,False,0.85,1.0,0.2737,0.19
soil,FC-15,case2_hampyeong,Hampyeong,2019,deficit_SMT50,7.30513,7.253265,-0.051866,-0.709988,50.0,86.905436,36.905436,73.810872,0.835999,0.796427,-0.039572,-4.733529,823.82,823.82,False,False,False,0.85,1.0,0.2737,0.19
soil,FC-15,case2_hampyeong,Hampyeong,2019,deficit_SMT30,7.196797,7.182133,-0.014664,-0.203754,0.0,50.0,50.0,,0.873588,0.821924,-0.051665,-5.914097,823.82,823.82,False,False,False,0.85,1.0,0.2737,0.19
soil,FC-15,case2_hampyeong,Hampyeong,2019,full_SMT80,7.325232,7.329809,0.004576,0.062475,117.126119,128.541196,11.415076,9.74597,0.778496,0.769646,-0.008851,-1.136881,823.82,823.82,False,False,False,0.85,1.0,0.2737,0.19
soil,WP+15,case2_hampyeong,Hampyeong,2019,rainfed,7.196797,7.000464,-0.196333,-2.728061,0.0,0.0,0.0,,0.873588,0.849756,-0.023832,-2.728061,823.82,823.82,False,False,False,1.0,1.15,0.322,0.2185
soil,WP+15,case2_hampyeong,Hampyeong,2019,fixed_7d_80pct,7.307054,7.290862,-0.016192,-0.221592,114.189612,112.070718,-2.118894,-1.855592,0.778996,0.779029,3.4e-05,0.00431,823.82,823.82,False,False,False,1.0,1.15,0.322,0.2185
soil,WP+15,case2_hampyeong,Hampyeong,2019,deficit_SMT50,7.30513,7.254266,-0.050864,-0.696283,50.0,75.0,25.0,50.0,0.835999,0.807088,-0.028912,-3.458341,823.82,823.82,False,False,False,1.0,1.15,0.322,0.2185
soil,WP+15,case2_hampyeong,Hampyeong,2019,deficit_SMT30,7.196797,7.187207,-0.00959,-0.133254,0.0,50.0,50.0,,0.873588,0.822504,-0.051084,-5.847631,823.82,823.82,False,False,False,1.0,1.15,0.322,0.2185
soil,WP+15,case2_hampyeong,Hampyeong,2019,full_SMT80,7.325232,7.328565,0.003332,0.045493,117.126119,145.72913,28.603011,24.420694,0.778496,0.755873,-0.022623,-2.905984,823.82,823.82,False,False,False,1.0,1.15,0.322,0.2185
soil,WP-15,case2_hampyeong,Hampyeong,2019,rainfed,7.196797,7.257267,0.06047,0.840236,0.0,0.0,0.0,,0.873588,0.880929,0.00734,0.840236,823.82,823.82,False,False,False,1.0,0.85,0.322,0.1615
soil,WP-15,case2_hampyeong,Hampyeong,2019,fixed_7d_80pct,7.307054,7.314175,0.007121,0.097454,114.189612,115.159118,0.969505,0.849031,0.778996,0.77895,-4.6e-05,-0.005897,823.82,823.82,False,False,False,1.0,0.85,0.322,0.1615
soil,WP-15,case2_hampyeong,Hampyeong,2019,deficit_SMT50,7.30513,7.298343,-0.006787,-0.09291,50.0,25.0,-25.0,-50.0,0.835999,0.859822,0.023823,2.849619,823.82,823.82,False,False,False,1.0,0.85,0.322,0.1615
soil,WP-15,case2_hampyeong,Hampyeong,2019,deficit_SMT30,7.196797,7.257267,0.06047,0.840236,0.0,0.0,0.0,,0.873588,0.880929,0.00734,0.840236,823.82,823.82,False,False,False,1.0,0.85,0.322,0.1615
soil,WP-15,case2_hampyeong,Hampyeong,2019,full_SMT80,7.325232,7.323776,-0.001457,-0.019885,117.126119,107.482475,-9.643644,-8.233555,0.778496,0.786401,0.007905,1.01541,823.82,823.82,False,False,False,1.0,0.85,0.322,0.1615
soil,FC+15_WP+15,case2_hampyeong,Hampyeong,2019,rainfed,7.196797,7.217838,0.021041,0.292371,0.0,0.0,0.0,,0.873588,0.876143,0.002554,0.292371,823.82,823.82,False,False,False,1.15,1.15,0.3703,0.2185
soil,FC+15_WP+15,case2_hampyeong,Hampyeong,2019,fixed_7d_80pct,7.307054,7.31037,0.003316,0.045381,114.189612,122.499398,8.309786,7.277182,0.778996,0.772506,-0.00649,-0.833134,823.82,823.82,False,False,False,1.15,1.15,0.3703,0.2185
soil,FC+15_WP+15,case2_hampyeong,Hampyeong,2019,deficit_SMT50,7.30513,7.287586,-0.017545,-0.240171,50.0,50.0,0.0,0.0,0.835999,0.833992,-0.002008,-0.240171,823.82,823.82,False,False,False,1.15,1.15,0.3703,0.2185
soil,FC+15_WP+15,case2_hampyeong,Hampyeong,2019,deficit_SMT30,7.196797,7.217838,0.021041,0.292371,0.0,0.0,0.0,,0.873588,0.876143,0.002554,0.292371,823.82,823.82,False,False,False,1.15,1.15,0.3703,0.2185
soil,FC+15_WP+15,case2_hampyeong,Hampyeong,2019,full_SMT80,7.325232,7.326382,0.00115,0.0157,117.126119,125.992079,8.86596,7.569584,0.778496,0.771351,-0.007146,-0.91789,823.82,823.82,False,False,False,1.15,1.15,0.3703,0.2185
soil,FC+15_WP-15,case2_hampyeong,Hampyeong,2019,rainfed,7.196797,7.285799,0.089002,1.236696,0.0,0.0,0.0,,0.873588,0.884392,0.010804,1.236696,823.82,823.82,False,False,False,1.15,0.85,0.3703,0.1615
soil,FC+15_WP-15,case2_hampyeong,Hampyeong,2019,fixed_7d_80pct,7.307054,7.31867,0.011616,0.15897,114.189612,123.748813,9.559201,8.371341,0.778996,0.772363,-0.006633,-0.851447,823.82,823.82,False,False,False,1.15,0.85,0.3703,0.1615
soil,FC+15_WP-15,case2_hampyeong,Hampyeong,2019,deficit_SMT50,7.30513,7.285799,-0.019331,-0.264626,50.0,0.0,-50.0,-100.0,0.835999,0.884392,0.048393,5.7886,823.82,823.82,False,False,False,1.15,0.85,0.3703,0.1615
soil,FC+15_WP-15,case2_hampyeong,Hampyeong,2019,deficit_SMT30,7.196797,7.285799,0.089002,1.236696,0.0,0.0,0.0,,0.873588,0.884392,0.010804,1.236696,823.82,823.82,False,False,False,1.15,0.85,0.3703,0.1615
soil,FC+15_WP-15,case2_hampyeong,Hampyeong,2019,full_SMT80,7.325232,7.319778,-0.005454,-0.074455,117.126119,113.003398,-4.122721,-3.519899,0.778496,0.78134,0.002844,0.365292,823.82,823.82,False,False,False,1.15,0.85,0.3703,0.1615
